x	y	lat	lon
71	51	52.86	-8.55
108	54	52.88	-8.03
144	57	52.90	-7.53
181	60	52.91	-7.01
218	63	52.92	-6.49
254	66	52.93	-5.98
291	68	52.94	-5.46
328	71	52.95	-4.94
365	73	52.96	-4.42
401	74	52.97	-3.91
438	76	52.97	-3.39
475	77	52.98	-2.87
512	78	52.99	-2.35
548	79	52.99	-1.84
585	79	53.00	-1.32
621	79	53.00	-0.81
659	79	53.01	-0.28
694	79	53.01	0.22
732	79	53.00	0.75
769	78	53.01	1.27
806	77	53.01	1.79
842	76	53.00	2.30
878	73	53.02	2.81
916	73	53.00	3.34
953	70	53.01	3.87
989	68	53.00	4.37
1026	66	52.99	4.90
1063	64	52.98	5.42
1099	61	52.98	5.93
1136	58	52.97	6.45
1173	54	52.97	6.97
1210	51	52.95	7.49
1245	47	52.95	7.99
1283	43	52.94	8.53
1318	38	52.93	9.02
1356	34	52.92	9.56
1393	28	52.91	10.09
1428	23	52.90	10.58
1465	17	52.90	11.11
1501	13	52.87	11.62
65	111	52.34	-8.51
101	114	52.36	-8.01
139	118	52.37	-7.48
176	121	52.38	-6.97
213	124	52.39	-6.46
250	126	52.41	-5.94
287	129	52.41	-5.43
324	131	52.42	-4.92
362	132	52.44	-4.39
399	135	52.44	-3.88
437	135	52.46	-3.35
473	137	52.46	-2.85
509	139	52.45	-2.35
547	138	52.47	-1.83
585	139	52.47	-1.30
622	139	52.48	-0.79
658	139	52.48	-0.29
696	140	52.47	0.24
733	138	52.49	0.75
769	138	52.48	1.25
807	137	52.48	1.78
845	135	52.49	2.31
882	134	52.48	2.82
919	133	52.48	3.34
957	131	52.47	3.86
992	128	52.48	4.35
1030	127	52.46	4.88
1067	124	52.46	5.39
1104	121	52.45	5.91
1142	118	52.45	6.44
1179	115	52.43	6.95
1215	111	52.43	7.45
1253	106	52.43	7.98
1289	103	52.41	8.48
1327	99	52.40	9.01
1363	93	52.40	9.52
1400	89	52.38	10.03
1438	84	52.37	10.56
1474	78	52.36	11.06
1511	73	52.34	11.58
59	171	51.82	-8.47
96	175	51.83	-7.96
134	178	51.85	-7.44
171	181	51.86	-6.94
209	184	51.87	-6.42
247	187	51.88	-5.90
284	188	51.90	-5.39
321	192	51.89	-4.89
360	194	51.90	-4.35
396	194	51.93	-3.86
433	196	51.93	-3.36
471	197	51.94	-2.84
509	199	51.93	-2.32
546	200	51.94	-1.81
583	199	51.95	-1.31
621	201	51.94	-0.79
659	201	51.95	-0.27
697	200	51.95	0.25
734	199	51.96	0.76
772	199	51.95	1.28
809	198	51.95	1.78
847	197	51.95	2.30
884	195	51.96	2.81
922	194	51.95	3.33
959	192	51.94	3.83
997	190	51.94	4.35
1034	187	51.94	4.86
1072	184	51.94	5.38
1109	182	51.92	5.89
1147	178	51.92	6.41
1185	174	51.92	6.93
1223	170	51.91	7.45
1260	166	51.91	7.96
1297	162	51.90	8.47
1335	158	51.88	8.99
1372	153	51.88	9.50
1410	148	51.86	10.02
1446	143	51.85	10.52
1484	138	51.83	11.04
1522	132	51.82	11.56
53	230	51.31	-8.43
90	235	51.31	-7.93
128	238	51.32	-7.41
166	242	51.33	-6.90
204	245	51.34	-6.39
242	246	51.37	-5.88
280	250	51.36	-5.37
318	251	51.38	-4.86
356	253	51.39	-4.34
395	255	51.40	-3.82
432	257	51.40	-3.32
469	259	51.40	-2.82
508	259	51.42	-2.30
545	259	51.43	-1.80
581	260	51.43	-1.31
621	260	51.43	-0.78
659	261	51.43	-0.26
697	261	51.43	0.25
735	260	51.43	0.76
773	259	51.44	1.27
811	258	51.44	1.78
850	256	51.44	2.31
886	256	51.43	2.79
925	254	51.43	3.32
963	252	51.42	3.83
1001	250	51.42	4.34
1039	248	51.41	4.86
1076	245	51.41	5.36
1114	242	51.40	5.87
1151	239	51.40	6.37
1191	235	51.39	6.91
1228	232	51.38	7.41
1266	227	51.38	7.92
1304	222	51.38	8.44
1341	219	51.35	8.94
1379	214	51.35	9.45
1418	208	51.34	9.98
1454	203	51.33	10.47
1492	198	51.31	10.98
1530	193	51.29	11.50
46	292	50.77	-8.40
85	295	50.79	-7.88
123	299	50.80	-7.37
162	301	50.82	-6.86
199	305	50.82	-6.36
238	308	50.83	-5.85
276	309	50.85	-5.34
314	313	50.85	-4.84
353	314	50.87	-4.32
392	315	50.88	-3.80
429	317	50.88	-3.31
468	318	50.89	-2.80
506	319	50.90	-2.29
545	320	50.90	-1.77
583	320	50.91	-1.27
621	321	50.91	-0.76
659	321	50.91	-0.26
698	320	50.92	0.26
736	321	50.91	0.76
774	320	50.91	1.27
813	319	50.91	1.78
851	318	50.91	2.29
889	316	50.91	2.79
927	315	50.90	3.30
966	313	50.90	3.82
1004	310	50.90	4.32
1043	308	50.89	4.84
1081	305	50.89	5.35
1119	301	50.89	5.85
1156	299	50.88	6.34
1196	295	50.87	6.88
1234	292	50.86	7.38
1271	287	50.86	7.88
1310	284	50.84	8.39
1349	278	50.84	8.92
1387	275	50.82	9.42
1425	269	50.81	9.93
1462	263	50.81	10.43
1501	258	50.79	10.95
1539	252	50.78	11.46
40	352	50.25	-8.36
79	355	50.27	-7.85
118	359	50.28	-7.33
156	362	50.30	-6.84
195	365	50.31	-6.33
234	368	50.32	-5.82
272	371	50.32	-5.32
311	373	50.33	-4.81
350	375	50.34	-4.30
388	377	50.35	-3.80
427	377	50.37	-3.29
467	378	50.38	-2.77
505	379	50.38	-2.27
544	380	50.38	-1.76
582	381	50.38	-1.26
621	382	50.38	-0.75
660	381	50.39	-0.24
698	381	50.39	0.25
737	381	50.39	0.76
775	380	50.39	1.26
814	379	50.39	1.77
853	377	50.40	2.28
892	375	50.40	2.79
931	374	50.39	3.30
969	373	50.38	3.80
1008	370	50.38	4.31
1047	367	50.38	4.83
1085	365	50.37	5.32
1125	362	50.37	5.85
1163	358	50.37	6.35
1201	355	50.36	6.85
1240	352	50.34	7.36
1279	347	50.34	7.87
1318	343	50.33	8.38
1357	338	50.32	8.90
1393	334	50.31	9.37
1434	329	50.29	9.91
1471	323	50.29	10.40
1510	319	50.26	10.91
1549	312	50.26	11.42
34	411	49.75	-8.32
74	416	49.75	-7.80
112	419	49.77	-7.31
152	423	49.77	-6.79
190	425	49.79	-6.30
230	429	49.79	-5.79
269	431	49.81	-5.28
308	432	49.83	-4.78
348	435	49.83	-4.27
386	436	49.84	-3.78
426	438	49.85	-3.26
465	439	49.85	-2.76
503	440	49.86	-2.27
542	442	49.85	-1.76
581	442	49.86	-1.26
622	441	49.88	-0.73
661	441	49.88	-0.23
700	442	49.87	0.28
738	441	49.88	0.77
777	440	49.88	1.27
816	439	49.88	1.77
856	438	49.88	2.29
894	436	49.88	2.78
934	434	49.88	3.30
974	432	49.87	3.81
1012	430	49.87	4.31
1052	428	49.86	4.82
1089	426	49.85	5.30
1130	422	49.85	5.83
1168	419	49.84	6.32
1206	415	49.84	6.81
1246	411	49.83	7.33
1285	407	49.82	7.84
1324	403	49.81	8.34
1363	399	49.80	8.85
1402	394	49.79	9.35
1440	390	49.77	9.84
1479	385	49.75	10.35
1519	378	49.75	10.87
1559	372	49.74	11.39
69	475	49.25	-7.76
108	479	49.25	-7.26
147	482	49.27	-6.77
186	485	49.28	-6.27
225	488	49.29	-5.77
265	490	49.30	-5.26
304	492	49.31	-4.77
344	495	49.31	-4.26
383	496	49.33	-3.76
423	498	49.33	-3.25
462	499	49.34	-2.76
503	500	49.35	-2.24
541	501	49.35	-1.75
582	502	49.35	-1.23
620	502	49.36	-0.75
661	502	49.36	-0.22
699	502	49.36	0.26
739	501	49.36	0.77
779	500	49.37	1.28
818	500	49.36	1.77
857	498	49.36	2.27
897	498	49.35	2.78
937	496	49.35	3.29
976	493	49.35	3.79
1015	491	49.35	4.28
1056	488	49.35	4.81
1095	486	49.33	5.30
1134	482	49.34	5.80
1174	479	49.33	6.31
1214	474	49.33	6.82
1253	472	49.31	7.32
1291	468	49.30	7.81
1330	464	49.29	8.30
1370	460	49.27	8.81
1409	454	49.27	9.31
1449	449	49.26	9.83
1489	444	49.24	10.34
1527	438	49.24	10.83
1567	432	49.22	11.34
62	535	48.73	-7.74
103	538	48.75	-7.23
142	541	48.76	-6.74
183	544	48.78	-6.22
222	547	48.79	-5.73
261	550	48.79	-5.24
301	552	48.80	-4.74
342	555	48.80	-4.23
382	557	48.81	-3.72
422	559	48.81	-3.22
461	561	48.81	-2.73
502	561	48.83	-2.22
541	561	48.84	-1.73
581	561	48.85	-1.23
620	562	48.84	-0.74
660	562	48.85	-0.23
700	563	48.84	0.27
740	562	48.84	0.77
780	561	48.85	1.27
820	560	48.85	1.78
861	558	48.85	2.29
900	557	48.85	2.78
940	555	48.84	3.28
979	553	48.84	3.77
1020	551	48.84	4.29
1059	548	48.84	4.78
1100	545	48.83	5.30
1139	542	48.82	5.79
1179	539	48.82	6.29
1219	536	48.80	6.79
1259	532	48.80	7.30
1298	529	48.78	7.79
1337	523	48.78	8.28
1377	519	48.77	8.78
1417	514	48.76	9.29
1458	510	48.74	9.80
1496	505	48.72	10.28
1537	498	48.72	10.80
1579	492	48.70	11.33
58	596	48.21	-7.69
98	599	48.23	-7.19
138	603	48.24	-6.69
178	606	48.25	-6.20
218	608	48.27	-5.70
259	611	48.27	-5.20
299	613	48.29	-4.70
339	616	48.29	-4.21
378	617	48.30	-3.72
419	619	48.30	-3.21
459	620	48.31	-2.72
499	621	48.32	-2.22
540	623	48.31	-1.72
581	622	48.33	-1.21
620	622	48.34	-0.73
660	623	48.33	-0.23
701	623	48.33	0.28
742	622	48.33	0.78
783	621	48.34	1.29
821	620	48.34	1.76
862	619	48.33	2.27
903	618	48.33	2.78
942	615	48.34	3.26
983	613	48.33	3.77
1024	611	48.32	4.28
1064	610	48.31	4.78
1104	607	48.30	5.27
1143	603	48.31	5.76
1183	599	48.31	6.25
1224	596	48.29	6.76
1263	592	48.29	7.25
1305	589	48.27	7.77
1345	584	48.26	8.27
1385	579	48.26	8.77
1424	573	48.26	9.25
1467	569	48.23	9.79
1507	564	48.21	10.28
1548	558	48.20	10.79
1588	552	48.19	11.29
52	657	47.70	-7.66
93	660	47.72	-7.16
133	664	47.72	-6.67
173	666	47.74	-6.18
213	669	47.75	-5.69
254	671	47.77	-5.19
296	673	47.78	-4.68
335	675	47.79	-4.20
377	677	47.79	-3.69
417	679	47.80	-3.20
457	680	47.80	-2.71
499	681	47.81	-2.20
538	682	47.81	-1.72
580	683	47.81	-1.21
620	683	47.82	-0.72
661	684	47.81	-0.22
700	683	47.82	0.26
743	682	47.83	0.79
784	682	47.82	1.29
823	680	47.83	1.77
864	678	47.83	2.27
904	676	47.84	2.76
946	676	47.82	3.27
987	675	47.81	3.77
1027	672	47.81	4.26
1067	669	47.81	4.75
1108	665	47.81	5.25
1149	663	47.80	5.75
1189	660	47.79	6.24
1230	656	47.78	6.75
1270	652	47.78	7.24
1311	648	47.77	7.74
1351	644	47.75	8.23
1391	639	47.75	8.72
1433	634	47.73	9.24
1472	630	47.71	9.72
1514	625	47.70	10.23
1553	618	47.70	10.71
1594	612	47.68	11.22
47	716	47.20	-7.62
86	720	47.21	-7.15
128	723	47.22	-6.64
168	726	47.23	-6.16
210	729	47.24	-5.65
251	731	47.26	-5.16
293	733	47.27	-4.65
333	736	47.27	-4.17
375	738	47.28	-3.66
415	739	47.29	-3.18
455	740	47.30	-2.70
498	741	47.31	-2.18
538	742	47.31	-1.70
580	744	47.30	-1.19
620	743	47.31	-0.71
660	744	47.31	-0.22
703	743	47.32	0.29
742	743	47.31	0.76
784	741	47.32	1.27
824	742	47.31	1.75
867	740	47.31	2.27
908	738	47.31	2.77
948	736	47.31	3.25
991	734	47.31	3.77
1030	733	47.29	4.24
1071	731	47.28	4.73
1112	726	47.30	5.23
1153	723	47.29	5.73
1195	720	47.28	6.24
1236	716	47.27	6.73
1276	712	47.27	7.22
1316	708	47.26	7.70
1358	704	47.24	8.21
1399	699	47.24	8.71
1438	694	47.23	9.18
1481	689	47.21	9.70
1522	684	47.20	10.20
1563	678	47.18	10.69
1603	671	47.18	11.18
41	777	46.68	-7.59
82	780	46.70	-7.10
123	783	46.72	-6.62
164	787	46.72	-6.13
205	789	46.74	-5.64
248	792	46.75	-5.13
288	795	46.75	-4.65
330	796	46.77	-4.15
371	798	46.77	-3.66
412	799	46.79	-3.17
454	801	46.79	-2.67
495	802	46.79	-2.19
536	802	46.80	-1.70
579	804	46.80	-1.19
619	802	46.82	-0.71
661	803	46.81	-0.21
702	803	46.81	0.28
743	804	46.80	0.77
784	803	46.80	1.25
826	801	46.81	1.76
868	799	46.82	2.26
909	799	46.80	2.74
950	796	46.81	3.23
991	795	46.80	3.72
1034	793	46.79	4.23
1076	791	46.78	4.73
1117	787	46.78	5.22
1157	783	46.79	5.70
1199	781	46.77	6.20
1241	776	46.77	6.71
1282	772	46.76	7.20
1324	768	46.75	7.70
1365	765	46.73	8.18
1406	760	46.72	8.68
1448	754	46.72	9.18
1488	749	46.71	9.66
1530	744	46.69	10.16
1571	739	46.67	10.65
1612	733	46.66	11.14
36	836	46.19	-7.56
76	840	46.20	-7.08
118	844	46.21	-6.59
161	846	46.23	-6.09
201	849	46.24	-5.62
243	852	46.24	-5.12
286	854	46.26	-4.62
328	856	46.27	-4.12
369	858	46.27	-3.64
410	860	46.27	-3.16
453	861	46.28	-2.65
495	861	46.30	-2.16
537	863	46.29	-1.67
576	863	46.30	-1.21
620	864	46.30	-0.69
661	864	46.30	-0.21
702	863	46.31	0.27
746	863	46.31	0.79
786	862	46.31	1.26
828	861	46.31	1.76
870	860	46.30	2.25
912	858	46.31	2.74
953	856	46.31	3.23
995	855	46.29	3.72
1038	853	46.29	4.23
1080	849	46.29	4.72
1120	847	46.28	5.19
1162	844	46.27	5.69
1205	840	46.27	6.20
1247	836	46.26	6.69
1288	832	46.26	7.17
1329	829	46.24	7.66
1371	825	46.23	8.15
1413	819	46.23	8.65
1455	814	46.21	9.15
1497	809	46.20	9.64
1538	804	46.18	10.13
1579	798	46.17	10.61
1621	792	46.16	11.11
30	896	45.69	-7.53
71	901	45.69	-7.05
114	903	45.71	-6.56
155	908	45.71	-6.08
198	910	45.73	-5.58
241	912	45.74	-5.08
282	915	45.75	-4.60
324	916	45.76	-4.12
366	918	45.77	-3.63
408	920	45.77	-3.14
452	921	45.78	-2.63
494	923	45.78	-2.14
535	923	45.79	-1.67
578	924	45.79	-1.17
619	924	45.80	-0.69
661	925	45.79	-0.20
703	924	45.80	0.28
746	924	45.80	0.78
788	922	45.81	1.27
831	920	45.82	1.77
872	920	45.80	2.25
915	918	45.80	2.75
957	917	45.80	3.23
1000	916	45.78	3.73
1042	913	45.78	4.22
1085	912	45.76	4.72
1126	904	45.80	5.20
1168	904	45.77	5.69
1210	901	45.76	6.17
1251	897	45.76	6.65
1293	893	45.75	7.14
1336	888	45.74	7.64
1377	883	45.74	8.12
1420	880	45.71	8.62
1462	875	45.70	9.11
1504	869	45.70	9.60
1545	864	45.68	10.08
1587	859	45.66	10.57
1629	852	45.65	11.06
66	960	45.20	-7.02
110	964	45.21	-6.52
151	967	45.22	-6.05
194	971	45.22	-5.55
236	973	45.23	-5.07
279	975	45.25	-4.58
321	978	45.25	-4.10
364	979	45.26	-3.61
407	980	45.28	-3.11
449	982	45.28	-2.63
491	982	45.29	-2.15
534	983	45.29	-1.66
577	984	45.29	-1.17
620	984	45.30	-0.67
662	985	45.29	-0.19
704	984	45.30	0.29
746	983	45.31	0.77
790	984	45.29	1.28
830	982	45.30	1.74
875	981	45.30	2.25
918	978	45.31	2.75
960	977	45.30	3.23
1002	975	45.29	3.71
1045	972	45.29	4.20
1087	969	45.29	4.69
1130	967	45.28	5.18
1172	964	45.27	5.66
1215	960	45.27	6.16
1256	958	45.25	6.63
1301	953	45.24	7.14
1342	948	45.24	7.62
1385	944	45.23	8.11
1426	939	45.22	8.58
1469	934	45.21	9.08
1512	929	45.19	9.58
1554	924	45.18	10.06
1596	918	45.17	10.54
1639	912	45.15	11.04
62	1021	44.69	-6.98
104	1024	44.71	-6.51
147	1028	44.71	-6.02
190	1030	44.73	-5.53
233	1033	44.74	-5.05
275	1034	44.76	-4.57
318	1037	44.76	-4.08
362	1039	44.77	-3.59
405	1041	44.77	-3.10
448	1043	44.77	-2.61
490	1044	44.78	-2.14
534	1043	44.80	-1.64
577	1044	44.80	-1.15
619	1045	44.79	-0.68
663	1044	44.80	-0.18
705	1045	44.80	0.30
748	1044	44.80	0.79
791	1044	44.79	1.27
834	1042	44.80	1.76
877	1040	44.81	2.25
919	1039	44.80	2.72
963	1038	44.79	3.22
1006	1035	44.79	3.71
1048	1034	44.78	4.18
1090	1030	44.79	4.66
1133	1027	44.78	5.15
1177	1025	44.76	5.65
1220	1020	44.77	6.14
1262	1017	44.76	6.61
1305	1013	44.75	7.10
1348	1009	44.74	7.59
1390	1004	44.73	8.07
1433	999	44.72	8.56
1476	995	44.70	9.05
1518	989	44.70	9.53
1562	984	44.68	10.03
1605	978	44.66	10.52
1647	972	44.65	10.99
57	1081	44.20	-6.95
99	1085	44.20	-6.48
144	1088	44.22	-5.98
186	1090	44.23	-5.51
229	1093	44.24	-5.03
272	1095	44.25	-4.55
316	1097	44.26	-4.06
360	1099	44.27	-3.56
403	1101	44.27	-3.08
445	1102	44.28	-2.61
489	1103	44.29	-2.12
533	1104	44.29	-1.63
576	1104	44.30	-1.15
617	1104	44.31	-0.69
661	1105	44.30	-0.20
705	1104	44.31	0.30
747	1103	44.31	0.77
793	1103	44.31	1.28
836	1102	44.31	1.76
879	1102	44.29	2.24
922	1099	44.30	2.72
966	1097	44.30	3.22
1009	1096	44.29	3.70
1052	1093	44.29	4.18
1094	1090	44.29	4.65
1139	1087	44.28	5.16
1181	1084	44.28	5.63
1224	1081	44.27	6.11
1268	1077	44.26	6.60
1310	1073	44.25	7.07
1354	1070	44.23	7.57
1398	1065	44.22	8.06
1440	1059	44.22	8.53
1484	1054	44.21	9.03
1527	1050	44.19	9.51
1570	1044	44.18	9.99
1613	1038	44.16	10.48
1656	1032	44.15	10.96
51	1140	43.71	-6.94
96	1145	43.71	-6.44
138	1148	43.72	-5.98
182	1150	43.74	-5.49
225	1153	43.75	-5.01
269	1155	43.76	-4.53
314	1157	43.77	-4.03
357	1159	43.78	-3.56
401	1162	43.77	-3.07
445	1162	43.79	-2.58
488	1163	43.80	-2.11
531	1164	43.80	-1.63
575	1165	43.80	-1.15
618	1165	43.80	-0.67
663	1165	43.81	-0.17
707	1165	43.81	0.31
749	1164	43.81	0.78
795	1164	43.81	1.29
837	1162	43.81	1.75
880	1161	43.81	2.23
926	1160	43.80	2.74
967	1157	43.81	3.19
1011	1155	43.80	3.68
1055	1154	43.79	4.16
1098	1150	43.79	4.64
1142	1149	43.77	5.13
1185	1144	43.78	5.60
1230	1142	43.76	6.10
1273	1138	43.76	6.58
1315	1134	43.75	7.04
1361	1129	43.74	7.55
1404	1124	43.74	8.03
1447	1119	43.73	8.51
1490	1114	43.72	8.99
1534	1109	43.70	9.48
1577	1103	43.69	9.95
1621	1098	43.67	10.44
1665	1091	43.66	10.93
46	1201	43.21	-6.91
90	1205	43.22	-6.43
134	1207	43.24	-5.95
178	1210	43.25	-5.47
223	1213	43.26	-4.98
266	1215	43.27	-4.51
311	1216	43.29	-4.02
354	1219	43.28	-3.55
398	1221	43.29	-3.07
442	1222	43.30	-2.59
487	1222	43.31	-2.09
531	1222	43.32	-1.61
575	1224	43.32	-1.13
618	1225	43.31	-0.66
662	1225	43.32	-0.18
706	1225	43.31	0.30
751	1225	43.31	0.79
796	1224	43.31	1.28
839	1222	43.32	1.75
883	1222	43.31	2.23
927	1219	43.32	2.71
971	1218	43.31	3.20
1015	1216	43.30	3.68
1059	1213	43.30	4.16
1103	1210	43.30	4.64
1146	1207	43.30	5.11
1191	1204	43.29	5.60
1234	1200	43.28	6.07
1279	1197	43.27	6.57
1321	1193	43.26	7.03
1367	1189	43.25	7.53
1409	1184	43.24	7.99
1454	1180	43.22	8.48
1498	1174	43.22	8.97
1541	1169	43.21	9.44
1586	1163	43.19	9.93
1630	1158	43.17	10.42
1673	1151	43.16	10.89
41	1260	42.72	-6.89
86	1264	42.73	-6.40
129	1267	42.75	-5.94
175	1270	42.76	-5.44
219	1273	42.76	-4.96
263	1275	42.78	-4.49
308	1275	42.80	-4.00
352	1278	42.80	-3.53
396	1281	42.80	-3.05
440	1282	42.81	-2.58
485	1282	42.82	-2.09
529	1284	42.82	-1.62
574	1284	42.83	-1.13
619	1285	42.82	-0.64
662	1286	42.82	-0.18
707	1285	42.82	0.31
751	1284	42.83	0.78
795	1284	42.82	1.26
840	1283	42.82	1.74
885	1282	42.82	2.23
928	1281	42.81	2.69
973	1279	42.81	3.18
1018	1277	42.80	3.67
1062	1274	42.80	4.14
1107	1272	42.79	4.63
1151	1268	42.80	5.10
1194	1264	42.80	5.57
1239	1262	42.78	6.06
1284	1258	42.77	6.54
1328	1254	42.76	7.02
1373	1249	42.76	7.51
1416	1244	42.75	7.97
1460	1239	42.74	8.45
1505	1233	42.74	8.94
1550	1230	42.70	9.43
1593	1223	42.70	9.89
1637	1217	42.69	10.37
1681	1211	42.67	10.85
36	1321	42.23	-6.86
81	1325	42.24	-6.38
215	1333	42.28	-4.95
439	1343	42.31	-2.56
485	1345	42.31	-2.07
528	1345	42.32	-1.61
574	1345	42.33	-1.12
619	1345	42.33	-0.64
663	1345	42.34	-0.17
708	1346	42.33	0.31
752	1345	42.33	0.78
797	1344	42.33	1.26
843	1341	42.35	1.76
886	1341	42.34	2.21
932	1341	42.32	2.70
976	1340	42.31	3.17
1021	1337	42.32	3.66
1066	1335	42.31	4.14
1111	1332	42.30	4.62
1154	1328	42.31	5.08
1199	1325	42.30	5.56
1245	1321	42.29	6.05
1288	1317	42.29	6.51
1333	1312	42.29	7.00
1379	1309	42.27	7.49
1422	1304	42.26	7.95
1467	1300	42.24	8.43
1511	1294	42.24	8.90
1556	1289	42.22	9.38
1601	1284	42.20	9.86
1645	1277	42.20	10.34
1690	1272	42.17	10.82
32	1381	41.74	-6.82
77	1384	41.76	-6.35
438	1404	41.82	-2.54
483	1405	41.82	-2.06
528	1405	41.83	-1.59
573	1405	41.84	-1.11
618	1406	41.84	-0.64
664	1406	41.84	-0.15
709	1406	41.84	0.32
754	1406	41.84	0.80
800	1405	41.84	1.28
843	1403	41.85	1.73
888	1402	41.84	2.21
933	1400	41.84	2.69
978	1397	41.85	3.16
1023	1396	41.84	3.64
1069	1395	41.82	4.12
1114	1392	41.82	4.60
1159	1388	41.82	5.07
1203	1386	41.80	5.54
1249	1382	41.80	6.02
1295	1376	41.81	6.51
1339	1375	41.78	6.97
1385	1369	41.78	7.46
1430	1364	41.77	7.94
1474	1360	41.75	8.41
1517	1356	41.73	8.86
1564	1350	41.72	9.36
1609	1344	41.71	9.84
1653	1338	41.70	10.30
1698	1331	41.69	10.78
28	1442	41.25	-6.79
73	1445	41.26	-6.32
118	1448	41.28	-5.85
164	1450	41.30	-5.37
208	1454	41.30	-4.91
254	1456	41.31	-4.43
301	1458	41.32	-3.94
345	1460	41.33	-3.48
391	1463	41.32	-3.00
436	1463	41.34	-2.53
481	1464	41.35	-2.06
526	1465	41.35	-1.59
574	1466	41.35	-1.09
618	1466	41.35	-0.63
664	1466	41.36	-0.15
709	1467	41.35	0.32
755	1466	41.35	0.80
800	1464	41.36	1.27
845	1463	41.36	1.74
891	1463	41.35	2.22
935	1461	41.35	2.68
982	1459	41.35	3.17
1028	1457	41.34	3.65
1072	1454	41.34	4.11
1118	1451	41.34	4.59
1163	1448	41.33	5.06
1208	1445	41.33	5.53
1254	1441	41.32	6.01
1300	1438	41.31	6.49
1345	1433	41.30	6.96
1390	1430	41.28	7.43
1436	1425	41.28	7.91
1480	1420	41.27	8.37
1525	1415	41.25	8.85
1571	1408	41.25	9.33
1616	1403	41.23	9.80
1661	1396	41.23	10.27
1707	1390	41.21	10.76
1532	1474	40.78	8.82
1578	1469	40.76	9.30
1625	1463	40.75	9.78
1670	1457	40.73	10.25
1715	1452	40.71	10.72
